Athlete,Country,02.02.2025,02.03.2025,07.12.2025,14.12.2025,16.03.2025,16.11.2025,23.02.2025,23.11.2025,26.01.2025
Abigél Mercs,HUN,,,24.567999999999984,14.3900000000001,,29.82400000000007,,41.524,
Alice Marletti,ITA,-20.440000000000055,40.16199999999992,,,9.383999999999958,,13.255999999999972,,23.831999999999994
Anastasija Semjonova,RUS,,,5.728000000000009,0.9650000000000887,,8.854000000000042,,2.5589999999999975,
Anna Molnar,AUT,52.610000000000014,38.32199999999989,26.148000000000025,15.090000000000146,,11.144000000000005,,13.923999999999978,30.091999999999985
Arina Ilyachshenko,KAZ,,,22.77800000000002,,,,,,
Aurora Grinden Løvås,NOR,-0.2300000000000182,-51.39800000000008,-9.322000000000003,7.1400000000001,5.133999999999958,,,5.173999999999978,0.8020000000000209
Ayano Sato,JPN,-25.25,-54.04800000000006,-11.021999999999991,19.31000000000006,0.51400000000001,3.924000000000092,0.5159999999999627,-5.576000000000022,20.142000000000053
Bente Kerkhoff,NED,,,-8.192000000000007,-1.7899999999999068,,-4.91599999999994,,-5.48599999999999,
Binyu Yang,CHN,-25.25,-53.9380000000001,-10.911999999999978,20.350000000000136,0.3240000000000123,5.254000000000019,0.2959999999999354,-5.7760000000000105,-9.268000000000029
Elisa Dul,NED,,-47.49800000000005,,,4.633999999999958,,4.025999999999954,,-7.997999999999934
Elizaveta Golubeva,KAZ,,,18.097999999999956,1.5700000000001069,,7.504000000000019,,-5.156000000000006,
Fran Vanhoutte,BEL,-21.370000000000005,36.47199999999998,-10.062000000000012,0.47000000000008413,17.714,5.054000000000087,11.515999999999963,1.6539999999999964,-8.317999999999984
Francesca Lollobrigida,ITA,-26.150000000000034,-54.58800000000008,-10.911999999999978,0.48000000000007503,-0.06600000000003092,4.224000000000046,-0.2540000000000191,-5.816000000000031,19.772000000000048
Gemma Cooper,GBR,,,46.70799999999997,40.33000000000004,,12.474000000000046,,19.793999999999983,
Greta Myers,USA,-21.510000000000048,-49.66800000000012,-9.481999999999971,1.4200000000000728,3.6539999999999964,5.304000000000087,3.3859999999999673,-3.4560000000000173,-18.548000000000002
Hanna Svenni,NOR,48.360000000000014,,,,,,3.9659999999999513,,32.101999999999975
Ivanie Blondin,CAN,-8.960000000000036,-54.678000000000054,-11.411999999999978,-0.5099999999998772,-0.27600000000001046,3.744000000000028,0.055999999999983174,-6.98599999999999,-10.217999999999961
Jeannine Rosner,AUT,,37.32199999999989,5.557999999999993,6.300000000000068,,6.614000000000033,,-4.706000000000017,
Ji-Woo Park,KOR,,-53.978000000000065,-11.432000000000016,-0.05999999999988859,1.2939999999999827,4.7140000000000555,,-6.295999999999992,-7.497999999999934
Josephine Schlörb,GER,,,11.968000000000018,2.5100000000001046,,4.604000000000042,,-5.706000000000017,
Josie Hofmann,GER,-19.82000000000005,36.771999999999935,21.577999999999975,20.46000000000015,7.9739999999999895,6.094000000000051,3.0359999999999445,-0.7760000000000105,-2.5979999999999563
Julia Nizan,FRA,,,18.187999999999988,11.920000000000073,,35.26400000000001,,11.213999999999999,
Jundan Hou,CHN,,,-11.031999999999982,0.5100000000001046,,4.354000000000042,,-5.376000000000033,
Jéssica Carolina Santos Rodrigues,POR,,,18.077999999999975,2.7700000000000955,,26.663999999999987,,11.283999999999992,
Kaitlyn McGregor,SUI,-19.25999999999999,-48.74800000000005,-4.531999999999982,3.4400000000001114,12.314000000000021,5.174000000000092,4.555999999999983,-3.055999999999983,-6.307999999999993
Katerina Kainova,CZE,51.48000000000002,,,,,,,,29.96199999999999
Leewon Lim,KOR,,,-9.882000000000005,6.8550000000001035,,7.174000000000035,,-5.626000000000033,
Linda Rossi,ITA,,,18.228000000000065,12.350000000000136,,9.134000000000015,,12.213999999999999,
Lucie Korvasova,CZE,,38.16199999999992,46.648000000000025,43.42000000000007,,6.564000000000078,,13.813999999999965,
Marijke Groenewoud,NED,-26.430000000000007,-54.69800000000009,-12.051999999999964,-0.6999999999999318,-0.4759999999999991,5.554000000000087,-0.3940000000000623,-6.956000000000017,-9.538000000000011
Marina Zueva,BLR,,,18.488000000000056,3.2900000000000773,,50.724000000000046,,12.423999999999978,
Marte Bjerkreim Furnée,NOR,,,,,,13.554000000000087,,18.673999999999978,
Melissa Wijfje,NED,30.340000000000032,,,,,,,,
Mia Manganello,USA,-26.0,-54.59800000000007,-11.791999999999973,-0.17999999999989313,0.49399999999997135,-5.1959999999999695,0.2959999999999354,-6.7660000000000196,-9.087999999999965
Michelle Uhrig,GER,-22.650000000000034,-51.11800000000005,,,30.174000000000035,,3.23599999999999,,-10.557999999999993
Momoka Horikawa,JPN,,,-6.861999999999966,1.5800000000000978,3.873999999999967,2.2240000000000464,3.1159999999999854,-2.7560000000000286,-8.008000000000038
Natalia Jabrzyk,POL,-23.470000000000027,36.41199999999992,26.418000000000006,13.420000000000073,8.493999999999971,20.653999999999996,3.995999999999981,13.884000000000015,2.0819999999999936
Natascha Lindenskov,DEN,58.95999999999992,,21.807999999999993,48.200000000000045,,13.024000000000001,,16.053999999999974,
Olga Piotrowska,POL,57.870000000000005,38.14199999999994,21.85800000000006,17.690000000000055,,14.004000000000019,,15.653999999999996,
Ramona Härdi,SUI,-8.210000000000036,-45.33800000000008,-4.421999999999969,1.3400000000000887,6.353999999999985,5.653999999999996,6.975999999999942,-3.396000000000015,-8.077999999999975
Sandrine Tas,BEL,,36.49199999999996,16.35800000000006,12.600000000000136,4.633999999999958,6.413999999999987,4.815999999999974,3.563999999999993,-4.987999999999943
Sara Cabrera,ESP,57.66999999999996,,,44.13000000000011,,39.964000000000055,,14.024000000000001,38.432000000000016
Sofia Thorup,DEN,,,,,,10.864000000000033,,,
Valerie Maltais,CAN,,-53.88800000000009,-6.391999999999996,-0.08999999999991815,1.343999999999994,-5.145999999999958,0.9359999999999786,-6.73599999999999,-9.237999999999943
Violette Braun,FRA,-21.180000000000064,38.011999999999944,18.347999999999956,12.610000000000127,,10.994000000000028,,12.553999999999974,-0.9779999999999518
Wenjing Jin,CHN,-23.730000000000018,-51.08800000000008,,,9.15399999999994,,3.73599999999999,,-10.807999999999993
Yoon-Jee Kim,KOR,,,,,,,,,11.692000000000007
Yuuka Takahashi,JPN,48.24000000000001,,,,,,,,
Zuzana Kursova,CZE,-19.159999999999968,-49.898000000000025,19.78800000000001,13.920000000000073,9.133999999999958,11.153999999999996,,15.194000000000017,30.04200000000003
